date,latitude,longitude,NO2_column_density_mol_m2
2026-08-25,24.972916666666787,67.1683531746031,6.300892e-05
2026-08-25,24.972916666666787,67.22291666666658,6.2807274e-05
2026-08-25,24.972916666666787,67.27748015873006,5.6651275e-05
2026-08-25,24.972916666666787,67.33204365079354,5.19053e-05
2026-08-25,24.972916666666787,67.38660714285703,5.19053e-05
2026-08-25,24.972916666666787,67.44117063492051,5.493367e-05
2026-08-25,24.972916666666787,67.49573412698399,4.1517615e-05
2026-08-25,24.972916666666787,67.55029761904747,4.2735104e-05
2026-08-25,24.972916666666787,67.60486111111095,4.9182883e-05
2026-08-25,24.938194444444573,66.67728174603175,2.2469876e-05
2026-08-25,24.938194444444573,66.89553571428567,2.3425357e-05
2026-08-25,24.938194444444573,66.95009920634917,3.1256805e-05
2026-08-25,24.938194444444573,67.00466269841264,3.463392e-05
2026-08-25,24.938194444444573,67.05922619047612,4.5196608e-05
2026-08-25,24.938194444444573,67.1137896825396,5.0875944e-05
2026-08-25,24.938194444444573,67.1683531746031,6.300892e-05
2026-08-25,24.938194444444573,67.22291666666658,4.9250157e-05
2026-08-25,24.938194444444573,67.27748015873006,5.6651275e-05
2026-08-25,24.938194444444573,67.33204365079354,7.199137e-05
2026-08-25,24.938194444444573,67.38660714285703,6.1064056e-05
2026-08-25,24.938194444444573,67.44117063492051,5.493367e-05
2026-08-25,24.938194444444573,67.49573412698399,6.937824e-05
2026-08-25,24.938194444444573,67.55029761904747,6.143592e-05
2026-08-25,24.938194444444573,67.60486111111095,4.9182883e-05
2026-08-25,24.903472222222355,66.67728174603175,2.6102009e-05
2026-08-25,24.903472222222355,66.84097222222219,1.8542321e-05
2026-08-25,24.903472222222355,66.89553571428567,2.3425357e-05
2026-08-25,24.903472222222355,66.95009920634917,2.9164283e-05
2026-08-25,24.903472222222355,67.00466269841264,4.5196608e-05
2026-08-25,24.903472222222355,67.05922619047612,4.5196608e-05
2026-08-25,24.903472222222355,67.1137896825396,4.925587e-05
2026-08-25,24.903472222222355,67.1683531746031,5.8454578e-05
2026-08-25,24.903472222222355,67.22291666666658,4.9250157e-05
2026-08-25,24.903472222222355,67.27748015873006,6.327498e-05
2026-08-25,24.903472222222355,67.33204365079354,7.199137e-05
2026-08-25,24.903472222222355,67.38660714285703,6.7419496e-05
2026-08-25,24.903472222222355,67.44117063492051,6.532215e-05
2026-08-25,24.903472222222355,67.49573412698399,6.937824e-05
2026-08-25,24.903472222222355,67.55029761904747,5.5987977e-05
2026-08-25,24.903472222222355,67.60486111111095,5.5987977e-05
2026-08-25,24.86875000000014,66.67728174603175,2.6102009e-05
2026-08-25,24.86875000000014,66.73184523809523,1.21922585e-05
2026-08-25,24.86875000000014,66.78640873015871,1.21922585e-05
2026-08-25,24.86875000000014,66.84097222222219,1.8542321e-05
2026-08-25,24.86875000000014,66.89553571428567,2.3294217e-05
2026-08-25,24.86875000000014,66.95009920634917,2.9164283e-05
2026-08-25,24.86875000000014,67.00466269841264,2.6186932e-05
2026-08-25,24.86875000000014,67.05922619047612,4.0842082e-05
2026-08-25,24.86875000000014,67.1137896825396,4.925587e-05
2026-08-25,24.86875000000014,67.1683531746031,5.4938297e-05
2026-08-25,24.86875000000014,67.22291666666658,6.327498e-05
2026-08-25,24.86875000000014,67.27748015873006,6.327498e-05
2026-08-25,24.86875000000014,67.33204365079354,7.049954e-05
2026-08-25,24.86875000000014,67.38660714285703,6.7419496e-05
2026-08-25,24.86875000000014,67.44117063492051,6.4958156e-05
2026-08-25,24.86875000000014,67.49573412698399,6.114846e-05
2026-08-25,24.86875000000014,67.55029761904747,6.114846e-05
2026-08-25,24.86875000000014,67.60486111111095,5.8380516e-05
2026-08-25,24.834027777777923,66.67728174603175,1.7159105e-05
2026-08-25,24.834027777777923,66.73184523809523,1.21922585e-05
