date,feature_index,CO
2026-04-15T00:00:00.000Z,0,0.035734303295612335
2026-04-12T00:00:00.000Z,0,0.03271156352391277
2026-04-10T00:00:00.000Z,0,0.03646630634154592
2026-04-11T00:00:00.000Z,0,0.0323583351368729
2026-04-09T00:00:00.000Z,0,0.0359928088506595
2026-04-14T00:00:00.000Z,0,0.032567340828310906
2026-05-15T00:00:00.000Z,0,0.030449705798242053
2026-05-17T00:00:00.000Z,0,0.0316752883670635
2026-05-11T00:00:00.000Z,0,0.02764523631105056
2026-05-16T00:00:00.000Z,0,0.032494089017822365
2026-05-18T00:00:00.000Z,0,0.02972638198704112
2026-05-12T00:00:00.000Z,0,0.03145412428614994
2026-05-14T00:00:00.000Z,0,0.030837807694347356
2026-05-13T00:00:00.000Z,0,0.033167695773895396
2026-08-23T00:00:00.000Z,0,0.03358281869441271
2025-11-30T00:00:00.000Z,0,0.032959496007251315
2025-11-26T00:00:00.000Z,0,0.036651015281677246
2025-11-25T00:00:00.000Z,0,0.03529611074485662
2025-11-28T00:00:00.000Z,0,0.035783665812719724
2025-11-29T00:00:00.000Z,0,0.036244562661355256
2025-12-01T00:00:00.000Z,0,0.03088655157692053
2025-11-27T00:00:00.000Z,0,0.03871177831982694
2025-11-24T00:00:00.000Z,0,0.038333586583446176
2026-05-03T00:00:00.000Z,0,0.03181172418870673
2026-05-04T00:00:00.000Z,0,0.03237062398309134
2026-05-05T00:00:00.000Z,0,0.03719451671333912
2025-09-03T00:00:00.000Z,0,
2025-09-04T00:00:00.000Z,0,0.03309083122015
2025-09-02T00:00:00.000Z,0,0.03200596223799555
2025-08-29T00:00:00.000Z,0,0.03445327258071838
2025-08-30T00:00:00.000Z,0,0.038266235515475276
2025-08-28T00:00:00.000Z,0,0.030340262265367943
2025-08-31T00:00:00.000Z,0,0.03593426003821732
2025-09-01T00:00:00.000Z,0,0.03362828699628944
2026-03-19T00:00:00.000Z,0,0.03161747753620148
2026-03-16T00:00:00.000Z,0,0.03096850231775771
2026-03-21T00:00:00.000Z,0,0.03235013488305624
2026-03-22T00:00:00.000Z,0,0.03305333059787461
2026-03-23T00:00:00.000Z,0,0.031642995495847204
2026-03-20T00:00:00.000Z,0,0.034168355977920256
2026-03-17T00:00:00.000Z,0,0.03397930323601116
2026-03-18T00:00:00.000Z,0,0.035662959044685166
2026-05-21T00:00:00.000Z,0,0.029598556509098182
2026-05-19T00:00:00.000Z,0,0.029859497246689327
2026-05-23T00:00:00.000Z,0,
2026-05-25T00:00:00.000Z,0,0.03055744893067787
2026-05-26T00:00:00.000Z,0,0.03285660041821382
2026-05-20T00:00:00.000Z,0,0.029759247555448537
2026-05-22T00:00:00.000Z,0,0.031169745806650617
2026-05-24T00:00:00.000Z,0,0.030068886513679713
2025-10-11T00:00:00.000Z,0,0.031319489234132684
2025-10-12T00:00:00.000Z,0,0.03167959650897462
2025-10-14T00:00:00.000Z,0,0.031365675683759274
2025-10-09T00:00:00.000Z,0,0.03288596218977219
2025-10-13T00:00:00.000Z,0,0.032222281978592844
2025-10-10T00:00:00.000Z,0,0.03266253985559485
2025-10-07T00:00:00.000Z,0,0.03004030881468022
2025-10-08T00:00:00.000Z,0,0.029937669522310265
2026-04-21T00:00:00.000Z,0,0.03298034997116694
2026-04-20T00:00:00.000Z,0,0.03401442904557501
2026-04-19T00:00:00.000Z,0,0.029760144633446502
2026-04-22T00:00:00.000Z,0,0.030254203777428698
2026-04-18T00:00:00.000Z,0,0.02760340858451806
